scene_id,acq_dt,acq_date,platform,orbit_pass,rel_orbit,abs_orbit,mode,polarizations
S1A_IW_GRDH_1SDV_20150612T221710_20150612T221738_006346_0085A2_rtc,2015-06-12T22:17:24.319470+00:00,2015-06-12,S1A,descending,149,6346,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20150615T103312_20150615T103341_006383_0086AA_rtc,2015-06-15T10:33:27.038023+00:00,2015-06-15,S1A,ascending,11,6383,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20150627T103313_20150627T103342_006558_008B9C_rtc,2015-06-27T10:33:27.881860+00:00,2015-06-27,S1A,ascending,11,6558,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20150704T102502_20150704T102531_006660_008E4C_rtc,2015-07-04T10:25:17.222634+00:00,2015-07-04,S1A,ascending,113,6660,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20150709T103312_20150709T103341_006733_009049_rtc,2015-07-09T10:33:27.070128+00:00,2015-07-09,S1A,ascending,11,6733,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20150716T102503_20150716T102532_006835_009351_rtc,2015-07-16T10:25:17.807257+00:00,2015-07-16,S1A,ascending,113,6835,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20150721T103313_20150721T103342_006908_009560_rtc,2015-07-21T10:33:28.219719+00:00,2015-07-21,S1A,ascending,11,6908,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20150728T102504_20150728T102533_007010_00984E_rtc,2015-07-28T10:25:18.630201+00:00,2015-07-28,S1A,ascending,113,7010,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20150802T103314_20150802T103343_007083_009A41_rtc,2015-08-02T10:33:28.942286+00:00,2015-08-02,S1A,ascending,11,7083,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20150809T102504_20150809T102533_007185_009D09_rtc,2015-08-09T10:25:19.306078+00:00,2015-08-09,S1A,ascending,113,7185,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20150814T103315_20150814T103344_007258_009F0C_rtc,2015-08-14T10:33:29.552647+00:00,2015-08-14,S1A,ascending,11,7258,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20150821T102505_20150821T102534_007360_00A1CD_rtc,2015-08-21T10:25:19.952434+00:00,2015-08-21,S1A,ascending,113,7360,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20150902T102505_20150902T102534_007535_00A699_rtc,2015-09-02T10:25:20.299313+00:00,2015-09-02,S1A,ascending,113,7535,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20150907T103316_20150907T103351_007608_00A898_rtc,2015-09-07T10:33:33.801717+00:00,2015-09-07,S1A,ascending,11,7608,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20150914T102506_20150914T102535_007710_00AB4B_rtc,2015-09-14T10:25:20.793137+00:00,2015-09-14,S1A,ascending,113,7710,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20150919T103316_20150919T103345_007783_00AD3B_rtc,2015-09-19T10:33:30.881472+00:00,2015-09-19,S1A,ascending,11,7783,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20150926T102506_20150926T102535_007885_00AFF9_rtc,2015-09-26T10:25:21.139478+00:00,2015-09-26,S1A,ascending,113,7885,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20151001T103316_20151001T103351_007958_00B1F9_rtc,2015-10-01T10:33:34.305798+00:00,2015-10-01,S1A,ascending,11,7958,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20151008T102506_20151008T102535_008060_00B4A7_rtc,2015-10-08T10:25:21.284331+00:00,2015-10-08,S1A,ascending,113,8060,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20151013T103316_20151013T103345_008133_00B69F_rtc,2015-10-13T10:33:31.368523+00:00,2015-10-13,S1A,ascending,11,8133,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20151020T102506_20151020T102535_008235_00B97C_rtc,2015-10-20T10:25:21.257179+00:00,2015-10-20,S1A,ascending,113,8235,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20151101T102506_20151101T102535_008410_00BE1E_rtc,2015-11-01T10:25:21.200148+00:00,2015-11-01,S1A,ascending,113,8410,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20151113T102500_20151113T102529_008585_00C2D0_rtc,2015-11-13T10:25:15.440686+00:00,2015-11-13,S1A,ascending,113,8585,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20151125T102500_20151125T102529_008760_00C7B3_rtc,2015-11-25T10:25:15.228879+00:00,2015-11-25,S1A,ascending,113,8760,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20151207T102500_20151207T102529_008935_00CCAD_rtc,2015-12-07T10:25:15.025249+00:00,2015-12-07,S1A,ascending,113,8935,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20151212T103310_20151212T103339_009008_00CEA9_rtc,2015-12-12T10:33:24.760849+00:00,2015-12-12,S1A,ascending,11,9008,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20151219T102459_20151219T102528_009110_00D17F_rtc,2015-12-19T10:25:14.393991+00:00,2015-12-19,S1A,ascending,113,9110,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20151224T103309_20151224T103338_009183_00D39A_rtc,2015-12-24T10:33:24.122493+00:00,2015-12-24,S1A,ascending,11,9183,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20151231T102459_20151231T102528_009285_00D67F_rtc,2015-12-31T10:25:14.020365+00:00,2015-12-31,S1A,ascending,113,9285,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160105T103309_20160105T103344_009358_00D892_rtc,2016-01-05T10:33:26.969625+00:00,2016-01-05,S1A,ascending,11,9358,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160112T102459_20160112T102528_009460_00DB7C_rtc,2016-01-12T10:25:13.516525+00:00,2016-01-12,S1A,ascending,113,9460,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160117T103308_20160117T103337_009533_00DD94_rtc,2016-01-17T10:33:23.440163+00:00,2016-01-17,S1A,ascending,11,9533,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160124T102458_20160124T102527_009635_00E09A_rtc,2016-01-24T10:25:13.185658+00:00,2016-01-24,S1A,ascending,113,9635,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160129T103308_20160129T103343_009708_00E2BE_rtc,2016-01-29T10:33:26.058988+00:00,2016-01-29,S1A,ascending,11,9708,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160205T102458_20160205T102527_009810_00E5A8_rtc,2016-02-05T10:25:13.088958+00:00,2016-02-05,S1A,ascending,113,9810,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160210T103308_20160210T103337_009883_00E7C2_rtc,2016-02-10T10:33:22.676000+00:00,2016-02-10,S1A,ascending,11,9883,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160217T102458_20160217T102527_009985_00EACC_rtc,2016-02-17T10:25:12.866909+00:00,2016-02-17,S1A,ascending,113,9985,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160312T102458_20160312T102527_010335_00F4DB_rtc,2016-03-12T10:25:12.960849+00:00,2016-03-12,S1A,ascending,113,10335,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160324T102458_20160324T102527_010510_00F9BF_rtc,2016-03-24T10:25:13.316817+00:00,2016-03-24,S1A,ascending,113,10510,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160329T103308_20160329T103338_010583_00FBDA_rtc,2016-03-29T10:33:23.503065+00:00,2016-03-29,S1A,ascending,11,10583,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160405T102459_20160405T102528_010685_00FED5_rtc,2016-04-05T10:25:13.748404+00:00,2016-04-05,S1A,ascending,113,10685,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160422T103309_20160422T103338_010933_010659_rtc,2016-04-22T10:33:24.356484+00:00,2016-04-22,S1A,ascending,11,10933,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160429T102500_20160429T102529_011035_01098C_rtc,2016-04-29T10:25:14.735980+00:00,2016-04-29,S1A,ascending,113,11035,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160504T103310_20160504T103339_011108_010BD3_rtc,2016-05-04T10:33:24.870797+00:00,2016-05-04,S1A,ascending,11,11108,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160511T102500_20160511T102530_011210_010F14_rtc,2016-05-11T10:25:15.505344+00:00,2016-05-11,S1A,ascending,113,11210,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160516T103313_20160516T103342_011283_011177_rtc,2016-05-16T10:33:28.416055+00:00,2016-05-16,S1A,ascending,11,11283,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160523T102501_20160523T102530_011385_0114CC_rtc,2016-05-23T10:25:15.997283+00:00,2016-05-23,S1A,ascending,113,11385,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160528T103314_20160528T103343_011458_011737_rtc,2016-05-28T10:33:29.052082+00:00,2016-05-28,S1A,ascending,11,11458,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160609T103315_20160609T103344_011633_011CB0_rtc,2016-06-09T10:33:29.750988+00:00,2016-06-09,S1A,ascending,11,11633,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160703T103316_20160703T103345_011983_0127C5_rtc,2016-07-03T10:33:31.203678+00:00,2016-07-03,S1A,ascending,11,11983,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160722T102504_20160722T102533_012260_0130D0_rtc,2016-07-22T10:25:19.415325+00:00,2016-07-22,S1A,ascending,113,12260,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160803T102505_20160803T102534_012435_0136A4_rtc,2016-08-03T10:25:20.342677+00:00,2016-08-03,S1A,ascending,113,12435,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160808T103318_20160808T103331_012508_013913_rtc,2016-08-08T10:33:25.264008+00:00,2016-08-08,S1A,ascending,11,12508,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160815T102506_20160815T102535_012610_013C64_rtc,2016-08-15T10:25:20.759753+00:00,2016-08-15,S1A,ascending,113,12610,IW,"VH,VV"
S1A_IW_GRDH_1SDV_20160820T103319_20160820T103348_012683_013ED7_rtc,2016-08-20T10:33:33.802595+00:00,2016-08-20,S1A,ascending,11,12683,IW,"VH,VV"
