aoi_variant_id,aoi_role,rel_orbit,baseline_db,baseline_sd_db,threshold_db,onset_quarter,level_at_onset_db,plateau_db,rise_db
T1_ntt_fdc__v1,treatment,11,3.91,0.586,5.67,,,-0.77,-4.68
T1_ntt_fdc__v1,treatment,113,-0.59,0.768,1.71,,,0.37,0.96
C1_hkex_dc__v1,control,11,-9.34,0.67,-7.33,,,-10.74,-1.4
C1_hkex_dc__v1,control,113,-10.47,0.686,-8.42,,,-12.04,-1.57
P1_vacant__v1,placebo,11,-11.44,0.86,-8.87,,,-11.23,0.21
P1_vacant__v1,placebo,113,-12.49,1.145,-9.06,,,-10.47,2.02
C2b_amc__v2,positive_control,11,-12.93,0.662,-10.94,2018Q2,-9.19,-2.09,10.84
C2b_amc__v2,positive_control,113,-12.86,0.534,-11.25,2018Q2,-9.44,-1.55,11.31
X1_build_slab__v1,positive_control,11,-13.27,1.339,-9.26,2017Q1,-8.5,-8.56,4.71
X1_build_slab__v1,positive_control,113,-14.14,1.376,-10.01,2017Q1,-8.25,-6.43,7.71
X2_build_site__v1,positive_control,11,-13.0,1.272,-9.19,2017Q1,-8.57,-6.92,6.08
X2_build_site__v1,positive_control,113,-13.68,1.233,-9.98,2017Q1,-7.84,-5.92,7.76
