quarter,T1_ntt_fdc__v1,C1_hkex_dc__v1,P1_vacant__v1,C2b_amc__v2,X1_build_slab__v1,X2_build_site__v1
2015Q2,3.38,-9.27,-11.05,-13.9,-13.51,-13.4
2015Q3,1.0,-9.96,-11.52,-13.0,-14.65,-14.31
2015Q4,0.98,-10.11,-11.7,-12.88,-14.45,-14.13
2016Q1,1.74,-9.89,-12.96,-12.83,-13.36,-12.77
2016Q2,2.13,-9.95,-12.24,-12.57,-11.9,-11.64
2016Q3,1.4,-10.26,-11.6,-12.24,-11.66,-10.59
2016Q4,1.24,-10.89,-11.57,-13.21,-10.46,-9.92
2017Q1,1.23,-11.0,-11.73,-12.78,-8.37,-8.18
2017Q2,0.9,-11.11,-11.55,-13.0,-7.91,-7.54
2017Q3,1.5,-10.53,-11.08,-12.99,-8.39,-6.39
2017Q4,0.85,-10.25,-10.82,-12.16,-9.0,-5.45
2018Q1,0.49,-10.61,-10.84,-13.41,-8.13,-6.37
2018Q2,0.54,-10.5,-11.07,-9.33,-7.48,-6.0
2018Q3,0.92,-10.14,-10.66,-7.37,-7.18,-6.11
2018Q4,0.63,-9.96,-10.57,-6.8,-5.93,-6.11
2019Q1,1.37,-10.4,-11.69,-8.6,-6.1,-6.37
2019Q2,1.21,-10.41,-11.55,-7.46,-9.7,-8.34
2019Q3,0.72,-10.56,-11.39,-7.12,-10.59,-9.04
2019Q4,0.72,-10.58,-11.78,-6.48,-11.65,-9.36
2020Q1,0.56,-10.71,-12.09,-5.72,-10.03,-8.75
2020Q2,0.54,-10.48,-11.61,-4.07,-7.1,-7.3
2020Q3,0.44,-10.45,-11.45,-3.41,-6.75,-7.01
2020Q4,0.17,-10.71,-11.67,-4.48,-6.46,-6.84
2021Q1,0.66,-10.94,-11.44,-5.27,-5.29,-6.18
2021Q2,0.88,-10.94,-11.48,-5.27,-4.45,-5.61
2021Q3,0.59,-10.5,-11.28,-3.8,-4.67,-5.61
2021Q4,0.6,-10.71,-11.1,-2.1,-5.15,-5.98
2022Q1,0.78,-10.88,-11.45,-2.66,-5.79,-6.81
2022Q2,0.98,-10.33,-10.9,-2.41,-8.05,-8.71
2022Q3,0.46,-10.57,-10.53,-1.54,-9.73,-9.96
2022Q4,0.51,-10.82,-10.33,-1.75,-9.17,-9.62
2023Q1,0.27,-11.16,-10.9,-2.05,-9.76,-10.24
2023Q2,0.39,-10.69,-10.25,-1.15,-9.62,-9.8
2023Q3,0.24,-10.45,-10.48,-1.11,-7.46,-7.74
2023Q4,-0.2,-11.55,-10.07,-1.86,-5.72,-5.94
2024Q1,0.44,-11.45,-10.4,-1.8,-5.99,-6.36
2024Q2,0.97,-11.3,-10.82,-1.16,-7.98,-7.79
2024Q3,0.32,-11.38,-10.5,-1.29,-6.17,-6.88
2024Q4,-0.36,-11.82,-10.85,-2.17,-5.88,-7.17
2025Q1,-0.34,-11.76,-11.1,-2.2,-6.49,-6.92
2025Q2,0.68,-12.03,-10.84,-1.31,-7.13,-6.04
2025Q3,-0.11,-11.03,-10.65,-1.33,-8.91,-7.02
2025Q4,-0.4,-11.27,-10.99,-2.25,-9.43,-7.48
2026Q1,-0.17,-11.1,-10.85,-2.22,-9.09,-6.14
2026Q2,-0.49,-11.19,-10.68,-1.47,-6.3,-3.14
